ts_iso,items_fetched,items_written,elapsed_sec,success_calls,error_calls,dedup_skipped
2025-10-03T06:37:11Z,500,26,1091.997,500,0,0
2025-10-03T07:10:37Z,121,1006,2006.284,1176,0,3
